wavelength,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
379,1,-0.71766,0,0,-0.71766,1,0,0,0,0,-0.049544,0.694629,0,0,-0.694629,-0.049544
380,1,-0.72704,0,0,-0.72704,1,0,0,0,0,-0.050689,0.684722,0,0,-0.684722,-0.050689
381,1,-0.735585,0,0,-0.735585,1,0,0,0,0,-0.051433,0.675477,0,0,-0.675477,-0.051433
382,1,-0.743341,0,0,-0.743341,1,0,0,0,0,-0.051869,0.666899,0,0,-0.666899,-0.051869
383,1,-0.750355,0,0,-0.750355,1,0,0,0,0,-0.052078,0.658981,0,0,-0.658981,-0.052078
384,1,-0.756672,0,0,-0.756672,1,0,0,0,0,-0.052137,0.651713,0,0,-0.651713,-0.052137
385,1,-0.762317,0,0,-0.762317,1,0,0,0,0,-0.052092,0.645104,0,0,-0.645104,-0.052092
386,1,-0.767333,0,0,-0.767333,1,0,0,0,0,-0.052012,0.639136,0,0,-0.639136,-0.052012
387,1,-0.771782,0,0,-0.771782,1,0,0,0,0,-0.051976,0.633759,0,0,-0.633759,-0.051976
388,1,-0.775703,0,0,-0.775703,1,0,0,0,0,-0.052031,0.628949,0,0,-0.628949,-0.052031
389,1,-0.779133,0,0,-0.779133,1,0,0,0,0,-0.052219,0.62468,0,0,-0.62468,-0.052219
390,1,-0.782106,0,0,-0.782106,1,0,0,0,0,-0.052577,0.620923,0,0,-0.620923,-0.052577
391,1,-0.784627,0,0,-0.784627,1,0,0,0,0,-0.053127,0.617688,0,0,-0.617688,-0.053127
392,1,-0.786745,0,0,-0.786745,1,0,0,0,0,-0.053915,0.61492,0,0,-0.61492,-0.053915
393,1,-0.788499,0,0,-0.788499,1,0,0,0,0,-0.054973,0.612575,0,0,-0.612575,-0.054973
394,1,-0.789915,0,0,-0.789915,1,0,0,0,0,-0.056324,0.610624,0,0,-0.610624,-0.056324
395,1,-0.791019,0,0,-0.791019,1,0,0,0,0,-0.057989,0.609038,0,0,-0.609038,-0.057989
396,1,-0.79181,0,0,-0.79181,1,0,0,0,0,-0.059986,0.607815,0,0,-0.607815,-0.059986
